repo_name,full_name,description,stars,forks,open_issues,language,created_at,updated_at,topics,license,size_kb,watchers
attention-is-all-you-need-pytorch,jadore801120/attention-is-all-you-need-pytorch,"A PyTorch implementation of the Transformer model in ""Attention is All You Need"".",9661,2098,82,Python,2017-06-14,2026-03-30,attention|attention-is-all-you-need|deep-learning|natural-language-processing|nlp|pytorch,MIT,166,9661
TextBlob,sloria/TextBlob,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation, and more.",9514,1181,72,Python,2013-06-30,2026-03-30,natural-language-processing|nlp|nltk|pattern|python,MIT,7629,9514
pattern,clips/pattern,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization.",8856,1565,178,Python,2011-05-03,2026-03-28,machine-learning|natural-language-processing|network-analysis|python|sentiment-analysis|web-mining|wordnet,BSD-3-Clause,52274,8856
machine_learning_examples,lazyprogrammer/machine_learning_examples,A collection of machine learning examples and tutorials.,8842,6442,33,Python,2014-07-31,2026-03-30,data-science|deep-learning|machine-learning|natural-language-processing|python|reinforcement-learning,None,23557,8842
Deep-Learning-Interview-Book,amusi/Deep-Learning-Interview-Book,深度学习面试宝典（含数学、机器学习、深度学习、计算机视觉、自然语言处理和SLAM等方向）,8776,1377,10,Unknown,2019-06-24,2026-03-30,computer-vision|deep-learning|interview|machine-learning|natural-language-processing|recommendation-system|slam,None,3860,8776
bertviz,jessevig/bertviz,BertViz: Visualize Attention in Transformer Models,7976,872,21,Python,2018-12-16,2026-03-30,bert|gpt2|machine-learning|natural-language-processing|neural-network|nlp|pytorch|roberta|transformer|transformers,Apache-2.0,203110,7976
stanza,stanfordnlp/stanza,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages",7753,941,92,Python,2017-09-26,2026-03-30,artificial-intelligence|corenlp|deep-learning|machine-learning|named-entity-recognition|natural-language-processing|nlp|python|pytorch|universal-dependencies,NOASSERTION,86909,7753
WantWords,thunlp/WantWords,An open-source online reverse dictionary.,7115,620,29,JavaScript,2020-10-05,2026-03-30,natural-language-processing|nlp|reverse-dictionary|word,None,15236,7115
models,PaddlePaddle/models,"Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on.",6946,2871,870,Python,2017-04-20,2026-03-19,computer-vision|cv|deep-learning|models|natural-language-processing|neural-network|nlp|paddlepaddle|recommendation|speech,Apache-2.0,471601,6946
awesome-multimodal-ml,pliang279/awesome-multimodal-ml,Reading list for research topics in multimodal machine learning,6844,897,11,Unknown,2019-05-27,2026-03-28,computer-vision|deep-learning|healthcare|machine-learning|multimodal-learning|natural-language-processing|reading-list|reinforcement-learning|representation-learning|robotics,MIT,470,6844
mycroft-core,MycroftAI/mycroft-core,"Mycroft Core, the Mycroft Artificial Intelligence platform. ",6624,1300,1,Python,2016-05-20,2026-03-29,ai|arch|artificial-intelligence|fedora|hacktoberfest|linux|natural-language|natural-language-processing|nlp|open-source,Apache-2.0,120141,6624
nlp.js,axa-group/nlp.js,"An NLP library for building bots, with entity extraction, sentiment analysis, automatic language identify, and so more",6561,635,116,JavaScript,2018-07-30,2026-03-30,bot|bots|chatbot|classifier|conversational-ai|entity-extraction|hacktoberfest|javascript|natural-language-processing|nlp,MIT,33840,6561
nlp-recipes,microsoft/nlp-recipes,Natural Language Processing Best Practices & Examples,6445,912,66,Python,2019-04-05,2026-03-30,azure-ml|best-practices|deep-learning|machine-learning|mlflow|natural-language|natural-language-inference|natural-language-processing|natural-language-understanding|nli,MIT,48731,6445
ML-Course-Notes,dair-ai/ML-Course-Notes,🎓 Sharing machine learning course / lecture notes.,6433,856,5,Unknown,2022-03-17,2026-03-30,ai|data-science|deep-learning|machine-learning|natural-language-processing,NOASSERTION,56,6433
courses,SkalskiP/courses,This repository is a curated collection of links to various courses and resources about Artificial Intelligence (AI),6427,590,11,Python,2023-04-02,2026-03-29,computer-vision|deep-learning|deep-neural-networks|generative-model|machine-learning|mlops|multimodal|natural-language-processing|nlp|stable-diffusion,None,73,6427
awesome-self-supervised-learning,jason718/awesome-self-supervised-learning,A curated list of awesome self-supervised methods,6375,836,1,Unknown,2018-02-10,2026-03-30,computer-vision|deep-learning|machine-learning|natural-language-processing|reinforcement-learning|robotics|self-supervised,None,433,6375
AI-Job-Notes,amusi/AI-Job-Notes,AI算法岗求职攻略（涵盖准备攻略、刷题指南、内推和AI公司清单等资料）,6050,669,7,Unknown,2019-02-11,2026-03-30,algorithms|artificial-intelligence|computer-vision|deep-learning|image-processing|jobs|machine-learning|natural-language-processing|opencv|resume,None,4176,6050
ai-deadlines,paperswithcode/ai-deadlines,:alarm_clock: AI conference deadline countdowns ,5992,1057,69,JavaScript,2016-11-18,2026-03-29,artificial-intelligence|computer-vision|deep-learning|deep-neural-networks|machine-learning|natural-language-processing|robotics,MIT,1550,5992
Baichuan-7B,baichuan-inc/Baichuan-7B,A large-scale 7B pretraining language model developed by BaiChuan-Inc.,5677,506,88,Python,2023-06-14,2026-03-27,artificial-intelligence|ceval|chatgpt|chinese|gpt-4|huggingface|large-language-models|llama|mmlu|natural-language-processing,Apache-2.0,4012,5677
ltp,HIT-SCIR/ltp,Language Technology Platform,5238,1061,75,Python,2011-06-01,2026-03-30,chinese-nlp|machine-learning|natural-language-processing|nlp,None,16325,5238
datascience,sreeharierk/datascience,This repository is a compilation of free resources for learning Data Science.,5153,531,8,Unknown,2021-01-27,2026-03-29,artificial-intelligence|computer-vision|data-science|datascienceproject|deeplearning|machine-learning|machine-learning-algorithms|natural-language-processing|neural-networks,GPL-3.0,485,5153
argilla,argilla-io/argilla,Argilla is a collaboration tool for AI engineers and domain experts to build high-quality datasets,4913,478,26,Python,2021-04-28,2026-03-30,active-learning|ai|annotation-tool|developer-tools|gpt-4|human-in-the-loop|langchain|llm|machine-learning|mlops,Apache-2.0,809029,4913
OpenPrompt,thunlp/OpenPrompt,An Open-Source Framework for Prompt-Learning.,4848,486,100,Python,2021-09-30,2026-03-30,ai|deep-learning|natural-language-processing|natural-language-understanding|nlp|nlp-library|nlp-machine-learning|pre-trained-language-models|pre-trained-model|prompt,Apache-2.0,15059,4848
flash-linear-attention,fla-org/flash-linear-attention,🚀 Efficient implementations for emerging model architectures,4767,469,64,Python,2023-12-20,2026-03-30,large-language-models|machine-learning-systems|natural-language-processing|sequence-modeling,MIT,6562,4767
libpostal,openvenues/libpostal,A C library for parsing/normalizing street addresses around the world. Powered by statistical NLP and open geo data.,4761,467,293,C,2015-03-03,2026-03-29,address|address-parser|c|deduping|deduplication|international|machine-learning|natural-language-processing|nlp|record-linkage,MIT,38060,4761
nlpaug,makcedward/nlpaug,Data augmentation for NLP ,4654,474,81,Jupyter Notebook,2019-03-21,2026-03-30,adversarial-attacks|adversarial-example|ai|artificial-intelligence|augmentation|data-science|machine-learning|ml|natural-language-processing|nlp,MIT,3365,4654
pytorch-sentiment-analysis,bentrevett/pytorch-sentiment-analysis,Tutorials on getting started with PyTorch and TorchText for sentiment analysis.,4592,1179,6,Jupyter Notebook,2017-12-13,2026-03-29,bert|cnn|cnn-text-classification|fasttext|lstm|lstm-sentiment-analysis|natural-language-processing|nlp|pytorch|pytorch-nlp,MIT,1724,4592
autotrain-advanced,huggingface/autotrain-advanced,🤗 AutoTrain Advanced,4568,630,1,Python,2020-12-15,2026-03-29,autotrain|deep-learning|huggingface|machine-learning|natural-language-processing|natural-language-understanding|python,Apache-2.0,10211,4568
practical-pytorch,spro/practical-pytorch,Go to https://github.com/pytorch/tutorials - this repo is deprecated and no longer maintained,4543,1086,89,Jupyter Notebook,2017-01-22,2026-03-30,natural-language-generation|natural-language-processing|nlg|nlp|seq2seq,MIT,1713,4543
textract,deanmalmgren/textract,extract text from any document. no muss. no fuss.,4494,667,138,HTML,2014-07-03,2026-03-30,data-mining|natural-language-processing|python|text-mining,MIT,4532,4494
LLMBook-zh.github.io,LLMBook-zh/LLMBook-zh.github.io,《大语言模型》作者：赵鑫，李军毅，周昆，唐天一，文继荣,4405,327,12,Python,2024-04-15,2026-03-30,artificial-intelligence|deep-learning|deep-neural-networks|deep-reinforcement-learning|fine-tuning|language-model|large-language-models|natural-language-processing|nlp|pretrained-models,None,102622,4405
FLAML,microsoft/FLAML,A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.,4314,556,183,Jupyter Notebook,2020-08-20,2026-03-30,automated-machine-learning|automl|classification|data-science|deep-learning|finetuning|hyperparam|hyperparameter-optimization|jupyter-notebook|machine-learning,MIT,218533,4314
cs230-code-examples,cs230-stanford/cs230-code-examples,Code examples in pyTorch and Tensorflow for CS230,4222,1022,18,Python,2018-01-13,2026-03-30,computer-vision|natural-language-processing|pytorch|tensorflow,NOASSERTION,177,4222
Data-science,CodeCutTech/Data-science,"Collection of useful data science topics along with articles, videos, and code",4189,1058,6,Jupyter Notebook,2020-07-17,2026-03-30,articles|artificial-intelligence|data-analysis|data-science|data-visualization|machine-learning|natural-language-processing|python|scraping|time-series,None,141605,4189
spark-nlp,JohnSnowLabs/spark-nlp,State of the Art Natural Language Processing,4118,739,24,Scala,2017-09-24,2026-03-27,bert|entity-extraction|language-detection|lemmatizer|llamacpp|llm|machine-translation|named-entity-recognition|natural-language-processing|nlp,Apache-2.0,3877222,4118
Baichuan2,baichuan-inc/Baichuan2,A series of large language models developed by Baichuan Intelligent Technology,4113,292,271,Python,2023-08-31,2026-03-30,artificial-intelligence|benchmark|ceval|chatgpt|chinese|gpt|gpt-4|huggingface|large-language-models|llama2,Apache-2.0,4893,4113
oasis,camel-ai/oasis,🏝️ OASIS: Open Agent Social Interaction Simulations with One Million Agents. ,3971,423,48,Python,2024-11-13,2026-03-30,agent-based-framework|agent-based-simulation|ai-societies|deep-learning|large-language-models|large-scale|llm-agents|multi-agent-systems|natural-language-processing,Apache-2.0,196983,3971
LLM-RL-Visualized,changyeyu/LLM-RL-Visualized,🌟100+ 原创 LLM / RL 原理图📚，《大模型算法》作者巨献！💥（100+  LLM/RL Algorithm Maps ）,3919,373,3,Python,2025-04-26,2026-03-30,ai|algorithm|deep-learning|llm|machine-learning|natural-language-processing|nlp-machine-learning|reinforcement-learning|transformers|vlm,NOASSERTION,138753,3919
arXivTimes,arXivTimes/arXivTimes,repository to research & share the machine learning articles,3900,201,2050,Unknown,2016-10-26,2026-03-30,arxivtimes|computer-vision|machine-learning|natural-language-processing|reinforcement-learning,MIT,978,3900
MatchZoo,NTMC-Community/MatchZoo,"Facilitating the design, comparison and sharing of deep text matching models.",3849,899,34,Python,2017-06-08,2026-03-30,deep-learning|matching|natural-language-processing|neural-network|text|text-matching,Apache-2.0,42078,3849
JioNLP,dongrixinyu/JioNLP,中文 NLP 预处理、解析工具包，准确、高效、易用 A Chinese NLP Preprocessing & Parsing Package www.jionlp.com,3804,446,42,Python,2020-03-13,2026-03-30,apache2|chinese|natural-language-processing|ner|nlp|nlp-parse|preprocessing|python|time-parse|time-parsing,Apache-2.0,169459,3804
olivia,olivia-ai/olivia,💁‍♀️Your new best friend powered by an artificial neural network,3714,342,22,Go,2018-06-05,2026-03-26,ai|artificial-intelligence|assistant|backend|chatbot|deep-learning|go|golang|machine-learning|natural-language-processing,MIT,31229,3714
AI-Engineer-Headquarters,hemansnation/AI-Engineer-Headquarters,"A collection of scientific methods, processes, algorithms, and systems to build stories & models.",3663,700,17,Jupyter Notebook,2022-03-29,2026-03-24,computer-vision|data-engineering|data-science|data-structures-and-algorithms|data-system-design|data-visualization|datastructures|deep-learning|machine-learning|matplotlib,None,108713,3663
lit,PAIR-code/lit,The Learning Interpretability Tool: Interactively analyze ML models to understand their behavior in an extensible and framework agnostic interface.,3644,371,137,TypeScript,2020-07-28,2026-03-29,machine-learning|natural-language-processing|visualization,Apache-2.0,212460,3644
zhihu,NELSONZHAO/zhihu,"This repo contains the source code in my personal column (https://zhuanlan.zhihu.com/zhaoyeyu), implemented using Python 3.6. Including Natural Language Processing and Computer Vision projects, such a",3527,2109,32,Jupyter Notebook,2017-05-25,2026-03-28,autoencoder|convolutional-neural-networks|deep-learning|gan|machine-translation|natural-language-processing|recurrent-neural-networks|style-transfer|tensorflow-examples,None,165091,3527
huggingface_hub,huggingface/huggingface_hub,The official Python client for the Hugging Face Hub.,3462,974,185,Python,2020-12-22,2026-03-30,deep-learning|hacktoberfest|machine-learning|model-hub|models|natural-language-processing|pretrained-models|pytorch,Apache-2.0,37244,3462
ml-course,girafe-ai/ml-course,Open Machine Learning course,3451,1299,42,Jupyter Notebook,2019-02-01,2026-03-30,computer-vision|course|deep-learning|machine-learning|materials|natural-language-processing|python|pytorch|reinforcement-learning|seminars,MIT,1201488,3451
TextAttack,QData/TextAttack,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/",3394,440,73,Python,2019-10-15,2026-03-30,adversarial-attacks|adversarial-examples|adversarial-machine-learning|data-augmentation|machine-learning|natural-language-processing|nlp|security,MIT,26671,3394
catalyst,catalyst-team/catalyst,Accelerated deep learning R&D,3374,400,3,Python,2018-08-20,2026-03-25,computer-vision|deep-learning|distributed-computing|image-classification|image-processing|image-segmentation|information-retrieval|infrastructure|machine-learning|metric-learning,Apache-2.0,55120,3374
AIGC-Interview-Book,WeThinkIn/AIGC-Interview-Book,【三年面试五年模拟】AIGC算法工程师面试秘籍。涵盖AIGC、LLM大模型、AI Agent、传统深度学习、自动驾驶、机器学习、计算机视觉、自然语言处理、强化学习、大数据挖掘、具身智能、元宇宙、AGI等AI行业面试笔试干货经验与核心知识。,3360,370,0,Unknown,2023-10-14,2026-03-30,ai-agent|aigc|computer-vision|deep-learning|interview|interview-preparation|interview-questions|interviews-solutions|large-language-models|machine-learning,GPL-3.0,304653,3360
mlops-course,GokuMohandas/mlops-course,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",3328,593,1,Jupyter Notebook,2020-11-12,2026-03-29,data-engineering|data-quality|data-science|deep-learning|distributed-ml|llms|machine-learning|mlops|natural-language-processing|python,MIT,7509,3328
nlp-roadmap,graykode/nlp-roadmap,ROADMAP(Mind Map) and KEYWORD for students those who have interest in learning NLP,3267,515,2,Unknown,2019-09-19,2026-03-30,keyword|machine-learning|natural-language-processing|nlp|probability-statistics|roadmap|textmining,MIT,2737,3267
pyhanlp,hankcs/pyhanlp,中文分词,3211,802,13,Python,2018-03-19,2026-03-29,chinese-word-segmentation|dependency-parser|hanlp|named-entity-recognition|natural-language-processing|part-of-speech-tagger,Apache-2.0,287,3211
fastNLP,fastnlp/fastNLP,fastNLP: A Modularized and Extensible NLP Framework. Currently still in incubation.,3147,450,71,Python,2018-03-07,2026-03-22,chinese-nlp|deep-learning|natural-language-processing|nlp-library|nlp-parsing|text-classification|text-processing,Apache-2.0,36844,3147
torchscale,microsoft/torchscale,Foundation Architecture for (M)LLMs,3132,223,38,Python,2022-11-17,2026-03-30,computer-vision|machine-learning|multimodal|natural-language-processing|pretrained-language-model|speech-processing|transformer|translation,MIT,370,3132
UER-py,dbiir/UER-py,Open Source Pre-training Model Framework in PyTorch & Pre-trained Model Zoo,3105,522,136,Python,2019-04-10,2026-03-24,albert|bart|bert|chinese|classification|clue|elmo|fine-tuning|gpt|gpt-2,Apache-2.0,52940,3105
prose,jdkato/prose,":book: A Golang library for text processing, including tokenization, part-of-speech tagging, and named-entity extraction.",3071,169,21,Go,2017-02-17,2026-03-29,natural-language-processing|nlp|prose,MIT,28087,3071
nlp_tasks,Kyubyong/nlp_tasks,Natural Language Processing Tasks and References,3012,538,0,Unknown,2017-10-06,2026-03-30,language|natural-language-processing|nlp,Apache-2.0,72,3012
vit-pytorch,lucidrains/vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",25000,3480,142,Python,2020-10-03,2026-03-30,artificial-intelligence|attention-mechanism|computer-vision|image-classification|transformers,MIT,10890,25000
gaussian-splatting,graphdeco-inria/gaussian-splatting,"Original reference implementation of ""3D Gaussian Splatting for Real-Time Radiance Field Rendering""",21190,3067,706,Python,2023-07-04,2026-03-30,computer-graphics|computer-vision|radiance-field,NOASSERTION,80569,21190
MaaAssistantArknights,MaaAssistantArknights/MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",20097,2530,629,C++,2021-07-09,2026-03-30,arknights|computer-vision|maa,AGPL-3.0,1017264,20097
AirSim,microsoft/AirSim,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",18076,4867,724,C++,2017-02-14,2026-03-30,ai|airsim|artificial-intelligence|autonomous-quadcoptor|autonomous-vehicles|computer-vision|control-systems|cross-platform|deep-reinforcement-learning|deeplearning,NOASSERTION,376796,18076
screenpipe,screenpipe/screenpipe,run agents that work for you in the background based on what you do,17740,1536,114,Rust,2024-06-19,2026-03-30,agents|agi|ai|computer-vision|llm|machine-learning|ml|multimodal|vision,NOASSERTION,404305,17740
vision,pytorch/vision,"Datasets, Transforms and Models specific to Computer Vision",17603,7225,1193,Python,2016-11-09,2026-03-30,computer-vision|machine-learning,BSD-3-Clause,1283219,17603
instant-ngp,NVlabs/instant-ngp,Instant neural graphics primitives: lightning fast NeRF and more,17345,2061,503,Cuda,2022-01-05,2026-03-30,3d-reconstruction|computer-graphics|computer-vision|cuda|function-approximation|machine-learning|nerf|neural-network|real-time|real-time-rendering,NOASSERTION,191628,17345
labelme,wkentaro/labelme,"Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation.",15690,3657,186,Python,2016-05-09,2026-03-30,annotations|classification|computer-vision|deep-learning|image-annotation|instance-segmentation|python|semantic-segmentation|video-annotation,GPL-3.0,51457,15690
cvat,cvat-ai/cvat,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",15533,3619,590,Python,2018-06-29,2026-03-30,annotation|annotation-tool|annotations|boundingbox|computer-vision|computer-vision-annotation|dataset|deep-learning|image-annotation|image-classification,MIT,349639,15533
DeepLearningExamples,NVIDIA/DeepLearningExamples,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,14758,3411,323,Jupyter Notebook,2018-05-02,2026-03-30,computer-vision|deep-learning|drug-discovery|forecasting|large-language-models|mxnet|nlp|paddlepaddle|pytorch|recommender-systems,None,108726,14758
dlib,davisking/dlib,A toolkit for making real world machine learning and data analysis applications in C++,14368,3453,42,C++,2014-01-29,2026-03-30,c-plus-plus|computer-vision|deep-learning|dlib|machine-learning|machine-learning-library|python,BSL-1.0,49899,14368
facenet,davidsandberg/facenet,Face recognition using Tensorflow,14317,4792,553,Python,2016-02-12,2026-03-30,computer-vision|deep-learning|face-detection|face-recognition|facenet|mtcnn|tensorflow,MIT,2991,14317
Virgilio,virgili0/Virgilio,Your new Mentor for Data Science E-Learning.,14317,2489,27,Jupyter Notebook,2019-03-12,2026-03-30,business-intelligence|computer-vision|data-science|datascience|guide|guidelines|hacktoberfest|learning|learning-python|machine-learning,NOASSERTION,33923,14317
carla,carla-simulator/carla,Open-source simulator for autonomous driving research.,13765,4503,1181,C++,2017-10-24,2026-03-30,ai|artificial-intelligence|autonomous-driving|autonomous-vehicles|carla|carla-simulator|computer-vision|cross-platform|deep-learning|deep-reinforcement-learning,MIT,2199469,13765
open_clip,mlfoundations/open_clip,An open source implementation of CLIP.,13609,1263,59,Python,2021-07-28,2026-03-30,computer-vision|contrastive-loss|deep-learning|language-model|multi-modal-learning|pretrained-models|pytorch|zero-shot-classification,NOASSERTION,15913,13609
CycleGAN,junyanz/CycleGAN,"Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.",12850,1967,59,Lua,2017-03-30,2026-03-30,computer-graphics|computer-vision|cyclegan|deep-learning|gan|gans|generative-adversarial-network|image-generation|image-manipulation|pix2pix,NOASSERTION,12841,12850
pytorch-grad-cam,jacobgil/pytorch-grad-cam,"Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more.",12716,1703,165,Python,2017-05-31,2026-03-30,class-activation-maps|computer-vision|deep-learning|explainable-ai|explainable-ml|grad-cam|image-classification|interpretability|interpretable-ai|interpretable-deep-learning,MIT,140850,12716
fashion-mnist,zalandoresearch/fashion-mnist,A MNIST-like fashion product database. Benchmark :point_down: ,12687,3069,33,Python,2017-08-25,2026-03-30,benchmark|computer-vision|convolutional-neural-networks|dataset|deep-learning|fashion|fashion-mnist|gan|machine-learning|mnist,MIT,108395,12687
Meshroom,alicevision/Meshroom,Node-based Visual Programming Toolbox,12640,1204,515,QML,2015-04-22,2026-03-30,3d-reconstruction|alicevision|camera-tracking|computer-vision|hdr-imaging|image-stitching|meshroom|multi-view-stereo|nocode|nodal-interface,NOASSERTION,12560,12640
CVPR2024-Paper-Code-Interpretation,extreme-assistant/CVPR2024-Paper-Code-Interpretation,cvpr2024/cvpr2023/cvpr2022/cvpr2021/cvpr2020/cvpr2019/cvpr2018/cvpr2017 论文/代码/解读/直播合集，极市团队整理,12505,2251,40,Unknown,2019-02-26,2026-03-30,computer-vision|cvpr2019|cvpr2020|cvpr2021|cvpr2022|deep-learning|image-classification|image-segmentation|machine-learning|object-detection,None,1357,12505
segmentation_models.pytorch,qubvel-org/segmentation_models.pytorch,Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones.,11437,1836,75,Python,2019-03-01,2026-03-30,computer-vision|deeplab-v3-plus|deeplabv3|dpt|fpn|image-processing|image-segmentation|imagenet|models|pretrained-weights,MIT,17659,11437
nerfstudio,nerfstudio-project/nerfstudio,A collaboration friendly studio for NeRFs,11379,1600,934,Python,2022-05-31,2026-03-30,3d|3d-graphics|3d-reconstruction|computer-vision|deep-learning|gaussian-splatting|machine-learning|nerf|photogrammetry|pytorch,Apache-2.0,121997,11379
colmap,colmap/colmap,COLMAP - Structure-from-Motion and Multi-View Stereo,11280,1947,656,C++,2014-08-16,2026-03-30,computer-vision|geometry|multi-view-stereo|reconstruction|structure-from-motion,NOASSERTION,76957,11280
kornia,kornia/kornia,🐍 Geometric Computer Vision Library for Spatial AI,11144,1179,88,Python,2018-08-22,2026-03-30,artificial-intelligence|computer-vision|deep-learning|hacktoberfest|image-processing|machine-learning|neural-network|python|pytorch|robotics,Apache-2.0,82943,11144
pcl,PointCloudLibrary/pcl,Point Cloud Library (PCL),10933,4683,592,C++,2013-02-12,2026-03-30,c-plus-plus|computer-vision|cpp|pcl|point-cloud|pointcloud,NOASSERTION,239869,10933
pix2pix,phillipi/pix2pix,Image-to-image translation with conditional adversarial nets,10628,1738,92,Lua,2016-11-16,2026-03-30,computer-graphics|computer-vision|dcgan|deep-learning|gan|generative-adversarial-network|image-generation|image-manipulation|image-to-image-translation|pix2pix,NOASSERTION,2497,10628
fiftyone,voxel51/fiftyone,Refine high-quality datasets and visual AI models,10523,733,650,Python,2020-04-22,2026-03-30,active-learning|artificial-intelligence|computer-vision|data-centric-ai|data-cleaning|data-curation|data-quality|data-science|deep-learning|developer-tools,Apache-2.0,2282251,10523
caire,esimov/caire,Content aware image resize library,10482,387,3,Go,2018-01-08,2026-03-30,computer-vision|content-aware-resize|content-aware-scaling|edge-detection|face-detection|golang|image-processing|image-resize|machine-learning|seam-carving,MIT,92414,10482
rerun,rerun-io/rerun,"An open source SDK for logging, storing, querying, and visualizing multimodal and multi-rate data",10446,703,1343,Rust,2022-04-08,2026-03-30,computer-vision|cpp|multimodal|python|robotics|rust|visualization,Apache-2.0,261516,10446
openFrameworks,openframeworks/openFrameworks,openFrameworks is a community-developed cross platform toolkit for creative coding in C++.,10358,2572,1059,C++,2009-10-21,2026-03-30,android|audio|computer-vision|creative-coding|emscripten|graphics|ios|linux|opencv|openframeworks,NOASSERTION,2213527,10358
computervision-recipes,microsoft/computervision-recipes,"Best Practices, code samples, and documentation for Computer Vision.",9839,1206,111,Jupyter Notebook,2019-02-11,2026-03-30,artificial-intelligence|azure|computer-vision|convolutional-neural-networks|data-science|deep-learning|image-classification|image-processing|jupyter-notebook|kubernetes,MIT,267320,9839
lama,advimman/lama,"🦙  LaMa Image Inpainting, Resolution-robust Large Mask Inpainting with Fourier Convolutions, WACV 2022",9814,1039,123,Jupyter Notebook,2021-08-30,2026-03-30,cnn|colab|colab-notebook|computer-vision|deep-learning|deep-neural-networks|fourier|fourier-convolutions|fourier-transform|gan,Apache-2.0,8938,9814
U-2-Net,xuebinqin/U-2-Net,"The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection.""",9685,1616,248,Python,2020-05-04,2026-03-30,computer-vision|deep-learning|image-background-removal|image-processing|image-segmentation|u-2-net|u2net,Apache-2.0,68541,9685
RobustVideoMatting,PeterL1n/RobustVideoMatting,"Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!",9283,1193,121,Python,2021-08-30,2026-03-30,ai|computer-vision|deep-learning|machine-learning|matting,GPL-3.0,9193,9283
notebooks,roboflow/notebooks,"A collection of tutorials on state-of-the-art computer vision models and techniques. Explore everything from foundational architectures like ResNet to cutting-edge models like RF-DETR, YOLO11, SAM 3, ",9282,1428,79,Jupyter Notebook,2022-11-18,2026-03-30,automatic-labeling-system|computer-vision|deep-learning|deep-neural-networks|google-colab|image-classification|image-segmentation|machine-learning|object-detection|open-vocabulary-detection,None,991573,9282
deeplake,activeloopai/deeplake,"Deeplake is AI Data Runtime for Agents. It provides serverless postgres with a multimodal datalake, enabling scalable retrieval and training.",9054,707,64,C++,2019-08-09,2026-03-30,agent|agentic-rag|ai|clawbot|computer-vision|datalake|deep-learning|filesystem|large-language-models|llm,Apache-2.0,131108,9054
jetson-inference,dusty-nv/jetson-inference,Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,8778,3095,403,C++,2016-07-30,2026-03-30,caffe|computer-vision|deep-learning|digits|embedded|image-recognition|inference|jetson|jetson-nano|jetson-tx1,MIT,155646,8778
librealsense,realsenseai/librealsense,RealSense SDK,8646,4982,483,C++,2015-11-17,2026-03-30,camera-api|computer-vision|developer-kits|hardware|library|librealsense|sdk,Apache-2.0,280680,8646
X-AnyLabeling,CVHub520/X-AnyLabeling,Effortless data labeling with AI support from Segment Anything and other awesome models.,8581,926,7,Python,2023-05-23,2026-03-30,artificial-intelligence|clip|computer-vision|deep-learning|groundingdino|image-annotation-tool|image-classification|image-labeling-tool|image-matting|instance-segmentation,GPL-3.0,154780,8581
introtodeeplearning,MITDeepLearning/introtodeeplearning,Lab Materials for MIT 6.S191: Introduction to Deep Learning,8538,4472,90,Jupyter Notebook,2018-01-28,2026-03-30,computer-vision|deep-learning|deep-reinforcement-learning|deeplearning|jupyter-notebooks|mit|music-generation|neural-networks|pytorch|pytorch-tutorial,MIT,184940,8538
javacv,bytedeco/javacv,"Java interface to OpenCV, FFmpeg, and more",8306,1616,464,Java,2014-04-21,2026-03-30,computer-vision|ffmpeg|java|javacv|maven|multimedia|opencv|opencv-java,NOASSERTION,8174,8306
ailab,microsoft/ailab,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI",7863,1394,84,C#,2018-07-23,2026-03-30,ai|algorithms|azure-functions|bing-search|bot|computer-vision|csharp|custom-vision|dnn|html5,MIT,103614,7863
CompreFace,exadel-inc/CompreFace,Leading free and open-source face recognition system,7861,1082,233,Java,2020-07-06,2026-03-30,computer-vision|docker|docker-compose|face-detection|face-identification|face-mask-detection|face-recognition|face-verification|facenet|facial-recognition,Apache-2.0,566295,7861
